,Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Rate
0,open,1000,0,200.7,1.6,0.33,0.95,170.7,200
1,query,1000,0,200.4,0.02,0.0,0.0,200.3,200
2,transfer,1000,0,200.4,1.58,0.22,1.02,177.3,200
0,open,1000,0,300.7,2.04,0.49,1.37,234.2,300
1,query,1000,0,299.2,0.01,0.0,0.0,299.0,300
2,transfer,1000,0,300.0,2.85,0.59,1.8,208.8,300
0,open,1000,0,298.6,2.32,0.66,1.44,227.2,300
1,query,1000,0,299.9,0.02,0.0,0.0,299.8,300
2,transfer,1000,0,299.9,2.23,0.29,1.41,226.6,300
0,open,1000,0,298.9,2.46,0.67,1.53,223.2,300
1,query,1000,0,298.5,0.01,0.0,0.0,298.3,300
2,transfer,1000,0,299.9,3.11,0.29,2.08,178.7,300
0,open,1000,0,300.6,2.21,0.69,1.43,229.0,300
1,query,1000,0,300.1,0.04,0.0,0.0,299.9,300
2,transfer,1000,0,300.1,2.35,0.52,1.55,225.8,300
0,open,1000,0,300.8,2.33,0.74,1.46,231.5,300
1,query,1000,0,300.6,0.01,0.0,0.0,300.4,300
2,transfer,1000,0,294.9,2.32,0.68,1.55,222.7,300
0,open,1000,0,400.5,4.32,1.32,2.58,197.6,400
1,query,1000,0,399.0,0.01,0.0,0.0,398.7,400
2,transfer,1000,0,393.7,3.27,0.89,2.1,201.9,400
0,open,1000,0,393.5,3.97,1.38,2.31,211.8,400
1,query,1000,0,400.2,0.01,0.0,0.0,399.8,400
2,transfer,1000,0,400.5,3.39,1.44,2.39,198.1,400
0,open,1000,0,398.2,2.7,1.26,2.02,228.8,400
1,query,1000,0,399.8,0.02,0.0,0.0,399.5,400
2,transfer,1000,0,398.6,3.02,0.4,2.26,224.5,400
0,open,1000,0,400.2,4.44,1.26,2.78,190.9,400
1,query,1000,0,398.2,0.02,0.0,0.0,397.9,400
2,transfer,1000,0,400.8,3.48,0.62,2.49,200.9,400
0,open,1000,0,398.2,2.24,0.93,1.6,261.1,400
1,query,1000,0,400.0,0.01,0.0,0.0,399.7,400
2,transfer,1000,0,399.0,3.89,1.58,2.66,196.0,400
0,open,1000,0,499.0,2.23,0.98,1.7,272.7,500
1,query,1000,0,498.8,0.01,0.0,0.0,498.3,500
2,transfer,1000,0,502.3,2.7,1.23,2.08,242.8,500
0,open,1000,0,502.0,5.71,1.75,3.51,158.1,500
1,query,1000,0,494.6,0.01,0.0,0.0,494.1,500
2,transfer,1000,0,500.3,3.07,1.71,2.49,229.2,500
0,open,1000,0,497.8,4.89,1.91,3.14,158.5,500
1,query,1000,0,498.3,0.03,0.0,0.0,497.8,500
2,transfer,1000,0,500.8,3.37,1.81,2.79,203.2,500
0,open,1000,0,501.0,4.55,1.75,2.98,172.4,500
1,query,1000,0,496.8,0.01,0.0,0.0,496.3,500
2,transfer,1000,0,488.5,3.65,1.09,2.44,204.9,500
0,open,1000,0,500.3,5.49,1.94,3.67,161.2,500
1,query,1000,0,495.3,0.02,0.0,0.0,494.8,500
2,transfer,1000,0,488.5,5.26,1.82,3.39,162.4,500
0,open,1000,0,600.6,5.83,1.27,3.93,163.8,600
1,query,1000,0,596.7,0.02,0.0,0.0,596.3,600
2,transfer,1000,0,588.6,3.87,1.1,2.5,241.5,600
0,open,1000,0,595.6,4.92,1.81,3.09,190.1,600
1,query,1000,0,595.6,0.01,0.0,0.0,595.2,600
2,transfer,1000,0,590.7,5.43,0.63,3.38,179.4,600
0,open,1000,0,601.3,3.75,1.85,2.81,191.9,600
1,query,1000,0,592.4,0.02,0.0,0.0,591.7,600
2,transfer,1000,0,594.2,5.26,0.59,3.21,184.8,600
0,open,1000,0,595.9,4.63,1.82,3.33,167.8,600
1,query,1000,0,597.4,0.01,0.0,0.0,597.0,600
2,transfer,1000,0,601.3,4.38,2.2,3.13,189.5,600
0,open,1000,0,588.9,4.68,1.75,3.11,186.6,600
1,query,1000,0,596.7,0.03,0.0,0.0,595.9,600
2,transfer,1000,0,596.7,5.22,1.49,3.94,188.6,600
0,open,1000,0,700.3,5.73,2.25,3.69,162.8,700
1,query,1000,0,693.0,0.02,0.0,0.0,692.0,700
2,transfer,1000,0,674.8,5.06,2.45,3.5,176.7,700
0,open,1000,0,698.8,4.15,2.1,3.13,205.3,700
1,query,1000,0,695.4,0.03,0.0,0.0,694.0,700
2,transfer,1000,0,679.8,5.0,2.29,3.21,177.1,700
0,open,1000,0,691.1,6.7,1.75,4.29,143.7,700
1,query,1000,0,695.9,0.02,0.0,0.0,695.4,700
2,transfer,1000,0,684.9,4.89,2.15,3.05,180.5,700
0,open,1000,0,697.4,4.93,1.82,3.23,185.0,700
1,query,1000,0,692.5,0.02,0.0,0.0,691.6,700
2,transfer,1000,0,672.5,5.22,0.91,3.14,170.4,700
0,open,1000,0,694.9,5.0,2.05,3.57,167.2,700
1,query,1000,0,693.5,0.03,0.0,0.0,689.7,700
2,transfer,1000,0,676.1,3.82,1.74,2.55,220.7,700
0,open,1000,0,791.1,5.71,1.71,3.59,163.4,800
1,query,1000,0,797.4,0.02,0.0,0.0,794.9,800
2,transfer,1000,0,797.4,4.52,2.38,3.37,195.7,800
0,open,1000,0,800.0,5.71,1.57,3.6,169.6,800
1,query,1000,0,791.8,0.02,0.0,0.0,790.5,800
2,transfer,1000,0,794.9,6.04,2.72,5.2,161.2,800
0,open,1000,0,793.7,5.33,1.84,3.7,172.3,800
1,query,1000,0,789.9,0.02,0.0,0.0,788.6,800
2,transfer,1000,0,803.2,6.04,2.39,4.49,151.9,800
0,open,1000,0,777.6,5.42,1.65,3.37,173.9,800
1,query,1000,0,781.3,0.03,0.0,0.0,778.8,800
2,transfer,1000,0,770.4,6.56,0.17,4.27,133.8,800
0,open,1000,0,798.7,4.2,1.78,3.06,211.9,800
1,query,1000,0,796.8,0.01,0.0,0.0,794.9,800
2,transfer,1000,0,641.4,3.74,0.17,3.15,217.7,800
0,open,1000,0,888.9,5.15,1.84,3.4,168.7,900
1,query,1000,0,884.2,0.02,0.0,0.0,883.4,900
2,transfer,1000,0,835.4,5.28,0.64,3.97,171.2,900
0,open,1000,0,895.3,6.73,1.96,4.48,142.1,900
1,query,1000,0,896.9,0.03,0.0,0.0,896.1,900
2,transfer,1000,0,895.3,5.19,2.27,4.1,180.2,900
0,open,1000,0,903.3,4.04,1.67,2.74,212.2,900
1,query,1000,0,865.1,0.03,0.0,0.0,864.3,900
2,transfer,1000,0,892.1,6.94,1.19,4.12,137.0,900
0,open,1000,0,885.0,7.04,1.86,4.62,141.6,900
1,query,1000,0,884.2,0.03,0.0,0.0,882.6,900
2,transfer,1000,0,897.7,4.6,2.17,3.79,187.1,900
0,open,1000,0,889.7,7.52,1.69,4.71,132.6,900
1,query,1000,0,897.7,0.04,0.0,0.0,890.5,900
2,transfer,1000,0,902.5,5.69,1.64,4.12,165.4,900
0,open,1000,0,100.5,1.54,0.29,0.88,93.0,100
1,query,1000,0,100.4,0.06,0.0,0.0,100.3,100
2,transfer,1000,0,100.5,1.35,0.16,0.81,95.0,100
0,open,1000,0,100.4,1.37,0.22,0.79,92.2,100
1,query,1000,0,100.1,0.02,0.0,0.0,100.1,100
2,transfer,1000,0,100.5,1.29,0.14,0.77,95.0,100
0,open,1000,0,100.4,1.32,0.17,0.73,92.4,100
1,query,1000,0,100.2,0.06,0.0,0.0,100.2,100
2,transfer,1000,0,100.3,1.29,0.12,0.73,95.3,100
0,open,1000,0,100.5,1.29,0.2,0.73,92.8,100
1,query,1000,0,100.3,0.01,0.0,0.0,100.3,100
2,transfer,1000,0,100.4,1.33,0.13,0.74,95.6,100
0,open,1000,0,100.5,1.26,0.16,0.71,92.7,100
1,query,1000,0,100.4,0.02,0.0,0.0,100.4,100
2,transfer,1000,0,100.4,1.34,0.16,0.78,94.4,100
0,open,1000,0,995.0,6.97,2.05,4.86,143.3,1000
1,query,1000,0,977.5,0.02,0.0,0.0,976.6,1000
2,transfer,1000,0,896.1,5.26,0.76,4.2,179.9,1000
0,open,1000,0,1005.0,6.25,1.72,4.12,160.1,1000
1,query,1000,0,993.0,0.04,0.0,0.0,991.1,1000
2,transfer,1000,0,958.8,4.16,2.03,3.24,212.6,1000
0,open,1000,0,999.0,5.61,1.59,3.52,172.7,1000
1,query,1000,0,992.1,0.03,0.0,0.0,990.1,1000
2,transfer,1000,0,993.0,4.7,1.63,3.06,178.6,1000
0,open,1000,0,995.0,6.45,1.84,4.68,154.6,1000
1,query,1000,0,994.0,0.03,0.0,0.0,992.1,1000
2,transfer,1000,0,999.0,5.84,1.98,3.74,158.4,1000
0,open,1000,0,997.0,6.15,1.64,4.29,158.0,1000
1,query,1000,0,982.3,0.03,0.0,0.0,981.4,1000
2,transfer,1000,0,1004.0,5.0,1.86,3.62,183.4,1000
0,open,1000,0,200.7,1.54,0.37,0.94,170.7,200
1,query,1000,0,200.1,0.04,0.0,0.0,200.0,200
2,transfer,1000,0,200.4,1.64,0.2,1.0,177.6,200
0,open,1000,0,200.2,1.56,0.34,0.94,171.1,200
1,query,1000,0,200.6,0.01,0.0,0.0,200.4,200
2,transfer,1000,0,200.3,1.72,0.17,1.05,178.7,200
0,open,1000,0,200.6,1.55,0.27,0.93,170.9,200
1,query,1000,0,200.5,0.01,0.0,0.0,200.4,200
2,transfer,1000,0,200.0,1.46,0.15,0.93,179.2,200
0,open,1000,0,200.0,1.5,0.3,0.94,172.0,200
1,query,1000,0,200.3,0.01,0.0,0.0,200.2,200
2,transfer,1000,0,200.7,1.53,0.16,1.0,177.7,200
0,open,1000,0,200.7,1.47,0.36,0.9,170.9,200
1,query,1000,0,198.6,0.04,0.0,0.0,198.6,200
2,transfer,1000,0,200.0,1.67,0.17,1.0,179.8,200
0,open,1000,0,300.8,2.34,0.7,1.56,223.6,300
1,query,1000,0,297.9,0.01,0.0,0.0,297.7,300
2,transfer,1000,0,301.1,2.02,0.27,1.3,225.1,300
0,open,1000,0,300.3,2.23,0.56,1.38,233.4,300
1,query,1000,0,299.4,0.01,0.0,0.0,299.3,300
2,transfer,1000,0,300.5,2.19,0.4,1.36,221.6,300
0,open,1000,0,299.0,2.05,0.61,1.27,236.7,300
1,query,1000,0,299.1,0.02,0.0,0.0,299.0,300
2,transfer,1000,0,300.1,2.16,0.54,1.38,224.3,300
0,open,1000,0,298.2,2.22,0.44,1.27,240.4,300
1,query,1000,0,299.0,0.01,0.0,0.0,298.9,300
2,transfer,1000,0,300.4,2.56,0.49,1.58,217.2,300
0,open,1000,0,301.2,2.24,0.7,1.46,227.3,300
1,query,1000,0,300.0,0.02,0.0,0.0,299.8,300
2,transfer,1000,0,299.0,2.21,0.46,1.39,222.8,300
0,open,1000,0,401.0,2.5,1.08,1.89,239.1,400
1,query,1000,0,398.7,0.01,0.0,0.0,398.4,400
2,transfer,1000,0,398.2,3.84,0.92,2.48,195.4,400
0,open,1000,0,400.3,2.53,1.09,1.82,249.1,400
1,query,1000,0,399.8,0.02,0.0,0.0,399.4,400
2,transfer,1000,0,400.8,2.89,1.06,2.04,213.9,400
0,open,1000,0,400.5,3.07,1.15,2.15,222.9,400
1,query,1000,0,399.0,0.01,0.0,0.0,398.7,400
2,transfer,1000,0,400.6,2.83,0.24,2.05,236.4,400
0,open,1000,0,401.0,2.4,0.67,1.71,242.5,400
1,query,1000,0,396.2,0.01,0.0,0.0,395.9,400
2,transfer,1000,0,401.8,2.88,0.44,2.05,212.3,400
0,open,1000,0,401.6,2.77,1.27,2.05,246.1,400
1,query,1000,0,397.9,0.01,0.0,0.0,397.6,400
2,transfer,1000,0,400.8,4.13,1.43,2.73,182.4,400
0,open,1000,0,500.3,2.9,1.39,2.15,243.2,500
1,query,1000,0,500.0,0.04,0.0,0.0,499.3,500
2,transfer,1000,0,493.3,3.35,2.13,2.67,230.5,500
0,open,1000,0,500.8,4.43,1.47,3.29,193.3,500
1,query,1000,0,499.5,0.02,0.0,0.0,499.0,500
2,transfer,1000,0,502.3,4.04,2.19,3.08,198.2,500
0,open,1000,0,498.3,4.09,1.74,2.81,198.5,500
1,query,1000,0,495.3,0.01,0.0,0.0,494.8,500
2,transfer,1000,0,488.5,5.07,0.08,2.91,192.4,500
0,open,1000,0,496.5,3.32,1.94,2.83,210.4,500
1,query,1000,0,498.0,0.01,0.0,0.0,497.5,500
2,transfer,1000,0,500.8,2.75,0.99,2.12,234.6,500
0,open,1000,0,500.3,4.82,2.06,3.21,180.4,500
1,query,1000,0,498.5,0.01,0.0,0.0,498.0,500
2,transfer,1000,0,500.5,3.89,1.48,3.06,189.7,500
0,open,1000,0,602.4,4.09,1.67,2.99,203.4,600
1,query,1000,0,598.4,0.01,0.0,0.0,597.7,600
2,transfer,1000,0,594.5,4.97,1.53,3.77,170.5,600
0,open,1000,0,599.5,4.37,1.9,3.34,191.8,600
1,query,1000,0,586.9,0.03,0.0,0.0,586.2,600
2,transfer,1000,0,597.4,4.92,0.99,3.11,192.3,600
0,open,1000,0,603.1,3.73,1.9,2.93,222.7,600
1,query,1000,0,595.9,0.01,0.0,0.0,595.6,600
2,transfer,1000,0,594.5,6.46,1.83,3.83,150.7,600
0,open,1000,0,597.0,3.78,2.03,3.01,217.7,600
1,query,1000,0,597.4,0.03,0.0,0.0,597.0,600
2,transfer,1000,0,602.8,4.21,1.39,3.11,200.7,600
0,open,1000,0,602.8,3.92,1.77,2.67,209.6,600
1,query,1000,0,601.7,0.01,0.0,0.0,598.1,600
2,transfer,1000,0,602.8,3.54,1.24,2.59,209.2,600
0,open,1000,0,695.9,5.88,1.86,3.56,161.1,700
1,query,1000,0,697.8,0.05,0.0,0.0,696.9,700
2,transfer,1000,0,700.3,4.67,1.74,3.09,198.3,700
0,open,1000,0,689.2,3.98,1.5,2.64,232.1,700
1,query,1000,0,698.8,0.02,0.0,0.0,697.8,700
2,transfer,1000,0,670.7,5.9,1.84,3.63,158.3,700
0,open,1000,0,700.3,3.67,1.84,2.72,211.8,700
1,query,1000,0,697.4,0.01,0.0,0.0,696.4,700
2,transfer,1000,0,675.7,5.0,1.51,3.36,182.3,700
0,open,1000,0,700.8,4.68,1.85,3.14,193.0,700
1,query,1000,0,694.9,0.03,0.0,0.0,694.0,700
2,transfer,1000,0,690.1,5.66,1.98,3.28,163.0,700
0,open,1000,0,698.8,6.3,2.16,4.15,150.5,700
1,query,1000,0,689.7,0.01,0.0,0.0,688.7,700
2,transfer,1000,0,701.3,5.1,1.41,4.19,177.4,700
0,open,1000,0,800.6,3.24,1.55,2.35,246.9,800
1,query,1000,0,796.2,0.02,0.0,0.0,794.9,800
2,transfer,1000,0,788.0,4.81,2.44,3.79,170.4,800
0,open,1000,0,801.9,6.05,1.74,3.81,160.5,800
1,query,1000,0,789.3,0.03,0.0,0.0,788.6,800
2,transfer,1000,0,802.6,4.42,1.69,3.18,201.9,800
0,open,1000,0,796.8,4.58,1.84,3.43,195.3,800
1,query,1000,0,797.4,0.03,0.0,0.0,795.5,800
2,transfer,1000,0,803.2,4.09,2.01,2.95,206.0,800
0,open,1000,0,802.6,3.97,1.91,2.92,215.7,800
1,query,1000,0,793.7,0.02,0.0,0.0,793.0,800
2,transfer,1000,0,761.0,6.67,2.25,4.61,140.5,800
0,open,1000,0,794.3,6.38,2.13,4.54,149.6,800
1,query,1000,0,801.3,0.02,0.0,0.0,800.6,800
2,transfer,1000,0,714.3,5.2,1.02,3.97,179.9,800
0,open,1000,0,888.9,4.55,1.84,3.29,200.4,900
1,query,1000,0,894.5,0.07,0.0,0.01,892.9,900
2,transfer,1000,0,881.1,5.71,0.47,3.59,151.2,900
0,open,1000,0,898.5,4.39,1.77,3.43,202.2,900
1,query,1000,0,878.0,0.03,0.0,0.0,877.2,900
2,transfer,1000,0,891.3,5.55,2.13,3.9,163.4,900
0,open,1000,0,892.1,4.56,1.83,3.04,204.6,900
1,query,1000,0,893.7,0.03,0.0,0.0,892.1,900
2,transfer,1000,0,882.6,5.6,0.95,3.98,169.9,900
0,open,1000,0,898.5,5.28,1.81,3.75,184.2,900
1,query,1000,0,892.9,0.02,0.0,0.0,891.3,900
2,transfer,1000,0,896.1,3.97,1.99,3.12,225.4,900
0,open,1000,0,882.6,5.76,2.0,4.01,172.6,900
1,query,1000,0,892.1,0.02,0.0,0.0,890.5,900
2,transfer,1000,0,892.1,5.84,1.3,3.61,148.3,900
